dim_matriz,norma2 Cholesky,determinante Cholesky,tempo comp. Cholesky,norma2 sem Pivo,determinante sem Pivo,tempo comp. sem Pivo,norma2 solucao Numpy,determinante solucao Numpy,tempo comp. sol. Numpy
59,1.2670831884620532e-10,2.457624781192469e+251,0.09358978271484375,43.81808378888284,2.4576247812176045e+251,0.020316362380981445,43.81808378898904,2.457624781212848e+251,0.0004189014434814453
60,3.955899444111945e-10,1.3300000793617177e+259,0.10783052444458008,760.9751130041288,1.3300000792851486e+259,0.011557817459106445,760.9751129770909,1.3300000793324025e+259,0.0003533363342285156
61,3.7265923031781784e-09,2.3711067728051442e+259,0.11267566680908203,363.137666850727,2.371106772166454e+259,0.009428739547729492,363.1376668038571,2.3711067724664126e+259,0.0003905296325683594
62,9.188653092638953e-12,7.943492874646111e+267,0.11453700065612793,14.092751450084533,7.9434928746624975e+267,0.009529829025268555,14.092751450115246,7.943492874638062e+267,0.0003628730773925781
63,1.4442587655410876e-10,1.1968414605920234e+271,0.11620163917541504,13.257611151854826,1.1968414605923718e+271,0.010477304458618164,13.257611151790952,1.1968414606031321e+271,0.00039505958557128906
64,8.327137264845099e-10,4.346107234182612e+273,0.11863183975219727,249.03764101548492,4.346107234483106e+273,0.010357379913330078,249.0376410058199,4.346107234650781e+273,0.0003955364227294922
65,8.521275844908482e-12,5.3660996622475324e+281,0.12022161483764648,8.70014471688581,5.3660996622496296e+281,0.010617733001708984,8.700144716885877,5.36609966224911e+281,0.00041556358337402344
66,6.767443471654029e-11,2.1380072416984237e+286,0.12255430221557617,58.73126388670067,2.138007241681797e+286,0.010951757431030273,58.73126388663686,2.1380072416835473e+286,0.00036644935607910156
67,2.0672612258950797e-11,4.827568178429992e+289,0.12395000457763672,13.97285043430752,4.827568178448932e+289,0.011371135711669922,13.972850434303847,4.827568178445356e+289,0.0003788471221923828
68,1.466860439744732e-10,7.532466413744025e+293,0.12623023986816406,390.15902624584254,7.532466414091845e+293,0.011542320251464844,390.15902621102157,7.532466414767064e+293,0.0004143714904785156
69,2.2509689022567038e-11,4.0133121391896464e+303,0.12835454940795898,12.052566255025479,4.0133121391851136e+303,0.01181936264038086,12.052566255021915,4.0133121391873374e+303,0.00037097930908203125
70,9.009056334316171e-11,1.3881827545595704e+304,0.1308293342590332,34.54230663236005,1.3881827545413564e+304,0.012248516082763672,34.54230663183251,1.388182754564036e+304,0.000377655029296875
